1,"Тверская область, Тверь, ул. Хромова, 6А",р-н Заволжский,блочный,2,3,2,40,27,4.5,нет,Вторичка,1750000
2,"наб. Иртыша, д. 10",р-н Заволжский,кирпичный,3,5,1,39.3,27,4.5,лоджия,Новострой,2239530
3,"Тверь, улица Скворцова-Степанова, 18",р-н Заволжский,панельный,5,5,4,91,27,9,лоджия,Вторичка,3450000
4,"Тверская область, Тверь, Тверской пр-т, 15",р-н Центральный,кирпичный,3,4,3,82,49,9.3,балкон,Вторичка,5700000
5,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,16,16,3,77.4,49,9.3,лоджия,Новострой,4303000
6,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,1,16,2,54.4,49,9.3,лоджия,Новострой,3307000
7,"ул. Псковская, д. 7",р-н Московский,кирпичный,12,16,3,75.3,43.3,11.4,лоджия,Новострой,4523000
8,"ул. Псковская, д. 7",р-н Московский,кирпичный,7,16,1,42.4,17.6,10.3,лоджия,Новострой,2635000
9,"ул. Псковская, д. 7",р-н Московский,кирпичный,9,16,1,42.4,17.7,10.3,лоджия,Новострой,2615000
10,"ул. Псковская, жилой дом",р-н Московский,кирпичный,8,16,3,75.5,38.2,15.9,лоджия,Новострой,4223000
11,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,1,48.5,19.6,14.9,лоджия,Вторичка,2300000
12,"Тверь, Псковская улица",р-н Московский,кирпичный,11,16,1,45.2,18.6,13.8,лоджия,Новострой,2613000
13,"Тверская область, Тверь, Пролетарская наб., 9",р-н Пролетарский,панельный,4,9,3,62.9,43.2,7.6,лоджия,Вторичка,3550000
14,"ул. Псковская, жилой дом",р-н Московский,кирпичный,9,16,2,65.1,43.2,12.3,лоджия,Новострой,3667000
15,"Тверская область, Тверь, 2-я ул. Красина, 82",р-н Заволжский,кирпичный,3,17,3,82,43,15.5,лоджия,Вторичка,5300000
16,"Тверская область, Тверь, ул. Левитана, 20",р-н Московский,панельный,1,5,3,66.1,43.4,7.6,балкон,Вторичка,3600000
17,"Тверская область, Тверь, ул. Марии Ульяновой, 42",р-н Московский,кирпичный,5,5,своб. планировка,100,43.4,10,лоджия,Вторичка,3749000
18,"Тверская область, Тверь, ул. Склизкова, 108",р-н Московский,панельный,5,17,2,71,35,15,лоджия,Вторичка,7300000
19,"Тверская область, Тверь, ул. Лидии Базановой, 20",р-н Центральный,кирпичный,5,6,3,135.9,35,15,лоджия,Вторичка,11800000
20,"Тверская область, Тверь, Кривичская ул., 6",р-н Заволжский,панельный,4,5,3,68,43,10,балкон,Вторичка,3400000
21,"Тверь, Оснабрюкская улица",р-н Пролетарский,монолитный,4,14,1,35.9,12.8,13.7,лоджия,Новострой,2595000
22,"Тверская область, Тверь, Планерная ул., 8",р-н Заволжский,кирпичный,1,12,2,66.6,34.6,13.5,лоджия,Вторичка,3862800
24,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,7,12,1,44,16.4,10.5,лоджия,Новострой,2684000
25,"пер. 1-й Вагонников, д. 6",р-н Заволжский,кирпичный,9,10,2,60,32.7,10.7,лоджия,Новострой,3480000
26,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,4,12,1,43.7,16.4,10.5,лоджия,Новострой,2665700
27,"Тверская область, Тверь, ул. Тургенева, 5",р-н Московский,кирпичный,3,3,3,77,50,12.7,нет,Вторичка,4900000
28,"Тверская область, Тверь, 1-й пер. Красной Слободы, 7/1",р-н Пролетарский,панельный,7,10,3,70,46,8,лоджия,Вторичка,5200000
29,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,1,10,1,42.9,18.3,11.4,нет,Новострой,2488200
30,"Тверская область, Тверь, ул. Орджоникидзе, 13",р-н Московский,кирпичный,1,2,2,46.6,28.5,7.2,нет,Вторичка,2200000
31,"Тверская область, Тверь, пер. Никитина, 6",р-н Заволжский,панельный,2,5,2,45,28.5,7.2,балкон,Вторичка,2130000
32,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,3,88.4,51.1,17.3,лоджия,Вторичка,3300000
33,"Тверская область, Тверь, 1-я ул. Профинтерна, 6",р-н Пролетарский,деревянный,2,2,2,36.1,28.3,5,нет,Вторичка,850000
34,"Тверская область, Тверь, ул. Бебеля, 7",р-н Центральный,кирпичный,3,4,3,96.3,51.3,12.3,лоджия,Вторичка,12000000
35,"Тверь, улица Бориса Полевого, 9",р-н Пролетарский,кирпичный,2,16,2,59.7,31.7,9,лоджия,Вторичка,4580000
36,"Тверская область, Тверь, ул. Фрунзе",р-н Заволжский,кирпичный,6,10,2,41.6,31.7,9,лоджия,Новострой,4096400
37,"Тверская область, Тверь, Новочеркасская ул., 50",р-н Заволжский,панельный,14,17,1,34.8,31.7,9,лоджия,Вторичка,1980000
39,"ул. Новочеркасская, д. 55",р-н Заволжский,панельный,15,17,студия,23.3,31.7,9,балкон,Новострой,1712000
40,"Тверская область, Тверь, Медовая ул., 1Б",р-н Заволжский,панельный,3,4,1,34.6,31.7,9,лоджия,Вторичка,1963000
41,"Тверская область, Тверь, пр-т Калинина, 6",р-н Центральный,кирпичный,2,4,2,54.4,32,8.5,нет,Вторичка,3199999
42,"Тверская область, Тверь, Московский район, жилой комплекс Лесная Мелодия-3",р-н Московский,панельный,14,16,2,37,32,8.5,балкон,Новострой,2324000
43,"Тверская область, Тверь, Взлётная ул., 8",р-н Московский,кирпичный,13,16,1,42,32,9,лоджия,Вторичка,2250000
44,"Тверская область, Тверь, Петербургское ш., 38к1",р-н Заволжский,кирпичный,3,5,3,89.5,51.6,13.1,лоджия,Вторичка,5950000
45,"Тверская область, Тверь, 2-я Боровая ул., 7",р-н Пролетарский,кирпичный,2,2,2,45,32,6,балкон,Вторичка,1630000
46,"Тверская область, Тверь, ул. Склизкова, 116к6",р-н Московский,монолитный,17,17,2,72,35,15,лоджия,Вторичка,4270000
47,"Тверская область, Тверь, Георгиевская ул., 8",р-н Пролетарский,панельный,2,5,2,50.2,30.7,7.5,лоджия,Вторичка,3550000
48,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,11,16,2,61.4,28.1,13.5,лоджия,Новострой,3585731
49,"Тверская область, Тверь, Тверской пр-т, 16",р-н Центральный,кирпичный,5,5,3,80.3,28.1,13.5,лоджия,Вторичка,4800000
50,"Тверская область, Тверь, ул. Спартака, 43",р-н Центральный,кирпичный,2,4,1,29,16,7,нет,Вторичка,1600000
51,"Тверская область, Тверь, ул. Хромова, 6А",р-н Заволжский,блочный,2,3,2,40,27,4.5,нет,Вторичка,1750000
52,"наб. Иртыша, д. 10",р-н Заволжский,кирпичный,3,5,1,39.3,27,4.5,лоджия,Новострой,2239530
53,"Тверь, улица Скворцова-Степанова, 18",р-н Заволжский,панельный,5,5,4,91,27,9,лоджия,Вторичка,3450000
54,"Тверская область, Тверь, Тверской пр-т, 15",р-н Центральный,кирпичный,3,4,3,82,49,9.3,балкон,Вторичка,5700000
55,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,16,16,3,77.4,49,9.3,лоджия,Новострой,4303000
56,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,1,16,2,54.4,49,9.3,лоджия,Новострой,3307000
57,"ул. Псковская, д. 7",р-н Московский,кирпичный,12,16,3,75.3,43.3,11.4,лоджия,Новострой,4523000
58,"ул. Псковская, д. 7",р-н Московский,кирпичный,7,16,1,42.4,17.6,10.3,лоджия,Новострой,2635000
59,"ул. Псковская, д. 7",р-н Московский,кирпичный,9,16,1,42.4,17.7,10.3,лоджия,Новострой,2615000
60,"ул. Псковская, жилой дом",р-н Московский,кирпичный,8,16,3,75.5,38.2,15.9,лоджия,Новострой,4223000
61,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,1,48.5,19.6,14.9,лоджия,Вторичка,2300000
62,"Тверь, Псковская улица",р-н Московский,кирпичный,11,16,1,45.2,18.6,13.8,лоджия,Новострой,2613000
63,"ул. Псковская, жилой дом",р-н Московский,кирпичный,9,16,2,65.1,18.6,12.3,лоджия,Новострой,3667000
64,"Тверская область, Тверь, Пролетарская наб., 9",р-н Пролетарский,панельный,4,9,3,62.9,43.2,7.6,лоджия,Вторичка,3550000
65,"Тверская область, Тверь, 2-я ул. Красина, 82",р-н Заволжский,кирпичный,3,17,3,82,43,15.5,лоджия,Вторичка,5300000
66,"Тверская область, Тверь, ул. Левитана, 20",р-н Московский,панельный,1,5,3,66.1,43.4,7.6,балкон,Вторичка,3600000
67,"Тверская область, Тверь, ул. Марии Ульяновой, 42",р-н Московский,кирпичный,5,5,своб. планировка,100,43.4,10,лоджия,Вторичка,3749000
68,"Тверская область, Тверь, ул. Склизкова, 108",р-н Московский,панельный,5,17,2,71,35,15,лоджия,Вторичка,7300000
69,"Тверская область, Тверь, ул. Лидии Базановой, 20",р-н Центральный,кирпичный,5,6,3,135.9,35,15,лоджия,Вторичка,11800000
70,"Тверская область, Тверь, Кривичская ул., 6",р-н Заволжский,панельный,4,5,3,68,43,10,балкон,Вторичка,3400000
71,"Тверь, Оснабрюкская улица",р-н Пролетарский,монолитный,4,14,1,35.9,12.8,13.7,лоджия,Новострой,2595000
72,"Тверская область, Тверь, Планерная ул., 8",р-н Заволжский,кирпичный,1,12,2,66.6,34.6,13.5,лоджия,Вторичка,3862800
74,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,7,12,1,44,16.4,10.5,лоджия,Новострой,2684000
75,"пер. 1-й Вагонников, д. 6",р-н Заволжский,кирпичный,9,10,2,60,32.7,10.7,лоджия,Новострой,3480000
76,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,4,12,1,43.7,16.4,10.5,лоджия,Новострой,2665700
77,"Тверская область, Тверь, ул. Тургенева, 5",р-н Московский,кирпичный,3,3,3,77,50,12.7,нет,Вторичка,4900000
78,"Тверская область, Тверь, 1-й пер. Красной Слободы, 7/1",р-н Пролетарский,панельный,7,10,3,70,46,8,лоджия,Вторичка,5200000
79,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,1,10,1,42.9,18.3,11.4,нет,Новострой,2488200
80,"Тверская область, Тверь, ул. Орджоникидзе, 13",р-н Московский,кирпичный,1,2,2,46.6,28.5,7.2,нет,Вторичка,2200000
81,"Тверская область, Тверь, пер. Никитина, 6",р-н Заволжский,панельный,2,5,2,45,28.5,7.2,балкон,Вторичка,2130000
82,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,3,88.4,51.1,17.3,лоджия,Вторичка,3300000
83,"Тверская область, Тверь, 1-я ул. Профинтерна, 6",р-н Пролетарский,деревянный,2,2,2,36.1,28.3,5,нет,Вторичка,850000
84,"Тверская область, Тверь, ул. Бебеля, 7",р-н Центральный,кирпичный,3,4,3,96.3,51.3,12.3,лоджия,Вторичка,12000000
85,"Тверь, улица Бориса Полевого, 9",р-н Пролетарский,кирпичный,2,16,2,59.7,31.7,9,лоджия,Вторичка,4580000
86,"Тверская область, Тверь, ул. Фрунзе",р-н Заволжский,кирпичный,6,10,2,41.6,31.7,9,лоджия,Новострой,4096400
87,"Тверская область, Тверь, Новочеркасская ул., 50",р-н Заволжский,панельный,14,17,1,34.8,31.7,9,лоджия,Вторичка,1980000
89,"ул. Новочеркасская, д. 55",р-н Заволжский,панельный,15,17,студия,23.3,31.7,9,балкон,Новострой,1712000
90,"Тверская область, Тверь, Медовая ул., 1Б",р-н Заволжский,панельный,3,4,1,34.6,31.7,9,лоджия,Вторичка,1963000
91,"Тверская область, Тверь, пр-т Калинина, 6",р-н Центральный,кирпичный,2,4,2,54.4,32,8.5,нет,Вторичка,3199999
92,"Тверская область, Тверь, Московский район, жилой комплекс Лесная Мелодия-3",р-н Московский,панельный,14,16,2,37,32,8.5,балкон,Новострой,2324000
93,"Тверская область, Тверь, Взлётная ул., 8",р-н Московский,кирпичный,13,16,1,42,32,9,лоджия,Вторичка,2250000
94,"Тверская область, Тверь, Петербургское ш., 38к1",р-н Заволжский,кирпичный,3,5,3,89.5,51.6,13.1,лоджия,Вторичка,5950000
95,"Тверская область, Тверь, 2-я Боровая ул., 7",р-н Пролетарский,кирпичный,2,2,2,45,32,6,балкон,Вторичка,1630000
96,"Тверская область, Тверь, Георгиевская ул., 8",р-н Пролетарский,панельный,2,5,2,50.2,30.7,7.5,лоджия,Вторичка,3550000
97,"Тверская область, Тверь, ул. Склизкова, 116к6",р-н Московский,монолитный,17,17,2,72,35,15,лоджия,Вторичка,4270000
98,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,11,16,2,61.4,28.1,13.5,лоджия,Новострой,3585731
99,"Тверская область, Тверь, Тверской пр-т, 16",р-н Центральный,кирпичный,5,5,3,80.3,28.1,13.5,лоджия,Вторичка,4800000
100,"Тверская область, Тверь, ул. Спартака, 43",р-н Центральный,кирпичный,2,4,1,29,16,7,нет,Вторичка,1600000
101,"Тверская область, Тверь, ул. Хромова, 6А",р-н Заволжский,блочный,2,3,2,40,27,4.5,нет,Вторичка,1750000
102,"наб. Иртыша, д. 10",р-н Заволжский,кирпичный,3,5,1,39.3,27,4.5,лоджия,Новострой,2239530
103,"Тверь, улица Скворцова-Степанова, 18",р-н Заволжский,панельный,5,5,4,91,27,9,лоджия,Вторичка,3450000
104,"Тверская область, Тверь, Тверской пр-т, 15",р-н Центральный,кирпичный,3,4,3,82,49,9.3,балкон,Вторичка,5700000
105,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,16,16,3,77.4,49,9.3,лоджия,Новострой,4303000
106,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,1,16,2,54.4,49,9.3,лоджия,Новострой,3307000
107,"ул. Псковская, д. 7",р-н Московский,кирпичный,12,16,3,75.3,43.3,11.4,лоджия,Новострой,4523000
108,"ул. Псковская, д. 7",р-н Московский,кирпичный,7,16,1,42.4,17.6,10.3,лоджия,Новострой,2635000
109,"ул. Псковская, д. 7",р-н Московский,кирпичный,9,16,1,42.4,17.7,10.3,лоджия,Новострой,2615000
110,"ул. Псковская, жилой дом",р-н Московский,кирпичный,8,16,3,75.5,38.2,15.9,лоджия,Новострой,4223000
111,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,1,48.5,19.6,14.9,лоджия,Вторичка,2300000
112,"Тверь, Псковская улица",р-н Московский,кирпичный,11,16,1,45.2,18.6,13.8,лоджия,Новострой,2613000
113,"ул. Псковская, жилой дом",р-н Московский,кирпичный,9,16,2,65.1,18.6,12.3,лоджия,Новострой,3667000
114,"Тверская область, Тверь, Пролетарская наб., 9",р-н Пролетарский,панельный,4,9,3,62.9,43.2,7.6,лоджия,Вторичка,3550000
115,"Тверская область, Тверь, 2-я ул. Красина, 82",р-н Заволжский,кирпичный,3,17,3,82,43,15.5,лоджия,Вторичка,5300000
116,"Тверская область, Тверь, ул. Левитана, 20",р-н Московский,панельный,1,5,3,66.1,43.4,7.6,балкон,Вторичка,3600000
117,"Тверская область, Тверь, ул. Марии Ульяновой, 42",р-н Московский,кирпичный,5,5,своб. планировка,100,43.4,10,лоджия,Вторичка,3749000
118,"Тверская область, Тверь, ул. Склизкова, 108",р-н Московский,панельный,5,17,2,71,35,15,лоджия,Вторичка,7300000
119,"Тверская область, Тверь, ул. Лидии Базановой, 20",р-н Центральный,кирпичный,5,6,3,135.9,35,15,лоджия,Вторичка,11800000
120,"Тверская область, Тверь, Кривичская ул., 6",р-н Заволжский,панельный,4,5,3,68,43,10,балкон,Вторичка,3400000
121,"Тверь, Оснабрюкская улица",р-н Пролетарский,монолитный,4,14,1,35.9,12.8,13.7,лоджия,Новострой,2595000
122,"Тверская область, Тверь, Планерная ул., 8",р-н Заволжский,кирпичный,1,12,2,66.6,34.6,13.5,лоджия,Вторичка,3862800
124,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,7,12,1,44,16.4,10.5,лоджия,Новострой,2684000
125,"пер. 1-й Вагонников, д. 6",р-н Заволжский,кирпичный,9,10,2,60,32.7,10.7,лоджия,Новострой,3480000
126,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,4,12,1,43.7,16.4,10.5,лоджия,Новострой,2665700
127,"Тверская область, Тверь, ул. Тургенева, 5",р-н Московский,кирпичный,3,3,3,77,50,12.7,нет,Вторичка,4900000
128,"Тверская область, Тверь, 1-й пер. Красной Слободы, 7/1",р-н Пролетарский,панельный,7,10,3,70,46,8,лоджия,Вторичка,5200000
129,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,1,10,1,42.9,18.3,11.4,нет,Новострой,2488200
130,"Тверская область, Тверь, ул. Орджоникидзе, 13",р-н Московский,кирпичный,1,2,2,46.6,28.5,7.2,нет,Вторичка,2200000
131,"Тверская область, Тверь, пер. Никитина, 6",р-н Заволжский,панельный,2,5,2,45,28.5,7.2,балкон,Вторичка,2130000
132,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,3,88.4,51.1,17.3,лоджия,Вторичка,3300000
133,"Тверская область, Тверь, 1-я ул. Профинтерна, 6",р-н Пролетарский,деревянный,2,2,2,36.1,28.3,5,нет,Вторичка,850000
134,"Тверская область, Тверь, ул. Бебеля, 7",р-н Центральный,кирпичный,3,4,3,96.3,51.3,12.3,лоджия,Вторичка,12000000
135,"Тверь, улица Бориса Полевого, 9",р-н Пролетарский,кирпичный,2,16,2,59.7,31.7,9,лоджия,Вторичка,4580000
136,"Тверская область, Тверь, ул. Фрунзе",р-н Заволжский,кирпичный,6,10,2,41.6,31.7,9,лоджия,Новострой,4096400
137,"Тверская область, Тверь, Новочеркасская ул., 50",р-н Заволжский,панельный,14,17,1,34.8,31.7,9,лоджия,Вторичка,1980000
139,"ул. Новочеркасская, д. 55",р-н Заволжский,панельный,15,17,студия,23.3,31.7,9,балкон,Новострой,1712000
140,"Тверская область, Тверь, Медовая ул., 1Б",р-н Заволжский,панельный,3,4,1,34.6,31.7,9,лоджия,Вторичка,1963000
141,"Тверская область, Тверь, пр-т Калинина, 6",р-н Центральный,кирпичный,2,4,2,54.4,32,8.5,нет,Вторичка,3199999
142,"Тверская область, Тверь, Московский район, жилой комплекс Лесная Мелодия-3",р-н Московский,панельный,14,16,2,37,32,8.5,балкон,Новострой,2324000
143,"Тверская область, Тверь, Взлётная ул., 8",р-н Московский,кирпичный,13,16,1,42,32,9,лоджия,Вторичка,2250000
144,"Тверская область, Тверь, Петербургское ш., 38к1",р-н Заволжский,кирпичный,3,5,3,89.5,51.6,13.1,лоджия,Вторичка,5950000
145,"Тверская область, Тверь, 2-я Боровая ул., 7",р-н Пролетарский,кирпичный,2,2,2,45,32,6,балкон,Вторичка,1630000
146,"Тверская область, Тверь, Георгиевская ул., 8",р-н Пролетарский,панельный,2,5,2,50.2,30.7,7.5,лоджия,Вторичка,3550000
147,"Тверская область, Тверь, ул. Склизкова, 116к6",р-н Московский,монолитный,17,17,2,72,35,15,лоджия,Вторичка,4270000
148,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,11,16,2,61.4,28.1,13.5,лоджия,Новострой,3585731
149,"Тверская область, Тверь, Тверской пр-т, 16",р-н Центральный,кирпичный,5,5,3,80.3,28.1,13.5,лоджия,Вторичка,4800000
150,"Тверская область, Тверь, ул. Спартака, 43",р-н Центральный,кирпичный,2,4,1,29,16,7,нет,Вторичка,1600000
151,"Тверская область, Тверь, ул. Хромова, 6А",р-н Заволжский,блочный,2,3,2,40,27,4.5,нет,Вторичка,1750000
152,"наб. Иртыша, д. 10",р-н Заволжский,кирпичный,3,5,1,39.3,27,4.5,лоджия,Новострой,2239530
153,"Тверь, улица Скворцова-Степанова, 18",р-н Заволжский,панельный,5,5,4,91,27,9,лоджия,Вторичка,3450000
154,"Тверская область, Тверь, Тверской пр-т, 15",р-н Центральный,кирпичный,3,4,3,82,49,9.3,балкон,Вторичка,5700000
155,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,16,16,3,77.4,49,9.3,лоджия,Новострой,4303000
156,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,1,16,2,54.4,49,9.3,лоджия,Новострой,3307000
157,"ул. Псковская, д. 7",р-н Московский,кирпичный,12,16,3,75.3,43.3,11.4,лоджия,Новострой,4523000
158,"ул. Псковская, д. 7",р-н Московский,кирпичный,7,16,1,42.4,17.6,10.3,лоджия,Новострой,2635000
159,"ул. Псковская, д. 7",р-н Московский,кирпичный,9,16,1,42.4,17.7,10.3,лоджия,Новострой,2615000
160,"ул. Псковская, жилой дом",р-н Московский,кирпичный,8,16,3,75.5,38.2,15.9,лоджия,Новострой,4223000
161,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,1,48.5,19.6,14.9,лоджия,Вторичка,2300000
162,"Тверь, Псковская улица",р-н Московский,кирпичный,11,16,1,45.2,18.6,13.8,лоджия,Новострой,2613000
163,"Тверская область, Тверь, Пролетарская наб., 9",р-н Пролетарский,панельный,4,9,3,62.9,43.2,7.6,лоджия,Вторичка,3550000
